#	Isochrone	Z = 0.01900		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	6.36162806	6.3485	3.5702	4.1126	3.0667	-4.156	-3.960	-3.460	-3.322	-3.283	-3.222	-3.063	-3.023	-2.977	-0.06093251
	7.80	6.36197567	6.3488	3.5739	4.0956	2.9951	-4.165	-4.025	-3.559	-3.430	-3.400	-3.341	-3.193	-3.155	-3.123	-0.06092801
	7.80	6.36233950	6.3492	3.5756	4.0770	2.9193	-4.169	-4.069	-3.647	-3.529	-3.500	-3.453	-3.324	-3.294	-3.255	-0.06092331
	7.80	6.36252880	6.3493	3.5758	4.0671	2.8793	-4.169	-4.091	-3.697	-3.584	-3.557	-3.516	-3.395	-3.367	-3.334	-0.06092086
	7.80	6.36289644	6.3497	3.5744	4.0469	2.8000	-4.166	-4.126	-3.785	-3.682	-3.660	-3.628	-3.526	-3.501	-3.475	-0.06091611
	7.80	6.36327505	6.3501	3.5712	4.0244	2.7131	-4.158	-4.152	-3.872	-3.781	-3.765	-3.741	-3.662	-3.650	-3.620	-0.06091122
	7.80	6.36366081	6.3504	3.5657	3.9992	2.6178	-4.144	-4.169	-3.966	-3.887	-3.877	-3.866	-3.817	-3.807	-3.790	-0.06090623
	7.80	6.36405087	6.3508	3.5575	3.9704	2.5108	-4.124	-4.146	-4.042	-3.989	-3.988	-3.995	-3.978	-3.988	-3.975	-0.06090120
	7.80	6.36424923	6.3510	3.5521	3.9544	2.4523	-4.110	-4.125	-4.078	-4.037	-4.047	-4.058	-4.068	-4.078	-4.077	-0.06089863
	7.80	6.36444759	6.3512	3.5458	3.9372	2.3899	-4.095	-4.087	-4.095	-4.079	-4.096	-4.126	-4.163	-4.184	-4.185	-0.06089607
	7.80	6.36464596	6.3514	3.5386	3.9189	2.3240	-4.077	-4.027	-4.101	-4.116	-4.153	-4.197	-4.262	-4.293	-4.300	-0.06089351
	7.80	6.36484480	6.3516	3.5299	3.8987	2.2516	-4.055	-3.933	-4.069	-4.130	-4.191	-4.259	-4.366	-4.421	-4.429	-0.06089094
	7.80	6.36504316	6.3518	3.5196	3.8761	2.1718	-4.029	-3.812	-3.998	-4.125	-4.225	-4.327	-4.475	-4.554	-4.574	-0.06088838
	7.80	6.36524153	6.3519	3.5076	3.8510	2.0833	-3.999	-3.667	-3.870	-4.097	-4.247	-4.396	-4.594	-4.713	-4.739	-0.06088582
	7.80	6.36543608	6.3521	3.4935	3.8229	1.9852	-3.964	-3.476	-3.688	-4.042	-4.256	-4.461	-4.723	-4.894	-4.918	-0.06088330
	7.80	6.36563396	6.3523	3.4761	3.7908	1.8740	-3.920	-3.208	-3.413	-3.937	-4.242	-4.527	-4.846	-5.077	-5.125	-0.06088075
	7.80	6.36582851	6.3525	3.4544	3.7529	1.7442	-3.866	-2.743	-3.084	-3.801	-4.195	-4.552	-4.974	-5.287	-5.344	-0.06087824
	7.80	6.36602306	6.3527	3.4248	3.7125	1.6123	-3.792	-2.033	-2.665	-3.598	-4.081	-4.509	-5.068	-5.492	-5.543	-0.06087573
	7.80	6.36621761	6.3528	3.3836	3.6848	1.5425	-3.689	-1.388	-2.277	-3.362	-3.904	-4.390	-5.063	-5.570	-5.627	-0.06087321
	7.80	6.36644602	6.3530	3.3288	3.6646	1.5166	-3.552	-0.842	-1.928	-3.110	-3.701	-4.227	-4.987	-5.565	-5.630	-0.06087027
	7.80	6.36656189	6.3532	3.3144	3.6563	1.4976	-3.516	-0.634	-1.804	-3.026	-3.637	-4.181	-4.976	-5.584	-5.652	-0.06086877
	7.80	6.36677980	6.3534	3.3642	3.6410	1.3870	-3.640	-0.378	-1.728	-3.030	-3.690	-4.272	-5.132	-5.803	-5.874	-0.06086596
	7.80	6.36697483	6.3535	3.4679	3.6281	1.2314	-3.900	-0.275	-1.803	-3.181	-3.886	-4.500	-5.419	-6.144	-6.220	-0.06086344
	7.80	6.36713409	6.3537	3.5330	3.6210	1.1381	-4.063	-0.250	-1.853	-3.272	-4.003	-4.642	-5.596	-6.352	-6.434	-0.06086139
	7.80	6.36744547	6.3539	3.5918	3.6154	1.0569	-4.210	-0.253	-1.910	-3.360	-4.113	-4.771	-5.752	-6.535	-6.620	-0.06085737
	7.80	6.36804056	6.3543	3.6468	3.6099	0.9799	-4.347	-0.259	-1.962	-3.440	-4.212	-4.891	-5.897	-6.707	-6.795	-0.06084969
	7.80	6.36875629	6.3548	3.7030	3.6045	0.9020	-4.488	-0.276	-2.019	-3.523	-4.315	-5.014	-6.046	-6.879	-6.969	-0.06084046
	7.80	6.36946821	6.3552	3.7579	3.5996	0.8277	-4.625	-0.321	-2.090	-3.610	-4.420	-5.144	-6.192	-7.043	-7.137	-0.06083128
	7.80	6.37021828	6.3556	3.8144	3.5948	0.7521	-4.766	-0.390	-2.175	-3.704	-4.531	-5.288	-6.345	-7.209	-7.309	-0.06082161
	7.80	6.37097597	6.3558	3.8651	3.5906	0.6846	-4.893	-0.455	-2.253	-3.790	-4.630	-5.418	-6.481	-7.359	-7.462	-0.06081184
	7.80	6.37330532	6.3564	3.8982	3.5877	0.6400	-4.975	-0.498	-2.303	-3.845	-4.694	-5.503	-6.569	-7.457	-7.564	-0.06078184
	7.80	6.38527584	6.3596	3.8452	3.5930	0.7143	-4.843	-0.439	-2.231	-3.764	-4.596	-5.366	-6.426	-7.296	-7.397	-0.06062806
	7.80	6.39141273	6.3621	3.7887	3.5983	0.7920	-4.702	-0.375	-2.151	-3.673	-4.489	-5.221	-6.273	-7.127	-7.222	-0.06054949
	7.80	6.39613962	6.3645	3.7347	3.6032	0.8658	-4.567	-0.324	-2.078	-3.588	-4.385	-5.088	-6.127	-6.966	-7.056	-0.06048909
	7.80	6.40112686	6.3675	3.6763	3.6086	0.9460	-4.421	-0.299	-2.013	-3.499	-4.277	-4.960	-5.973	-6.788	-6.877	-0.06042547
	7.80	6.40665483	6.3713	3.6187	3.6141	1.0258	-4.277	-0.284	-1.955	-3.414	-4.171	-4.834	-5.821	-6.611	-6.697	-0.06035510
	7.80	6.41327620	6.3762	3.5666	3.6196	1.1003	-4.147	-0.291	-1.911	-3.341	-4.078	-4.721	-5.682	-6.446	-6.529	-0.06027099
	7.80	6.42378092	6.3844	3.5175	3.6262	1.1767	-4.024	-0.338	-1.894	-3.287	-3.999	-4.619	-5.548	-6.280	-6.358	-0.06013797
	7.80	6.43965387	6.3973	3.4907	3.6345	1.2374	-3.957	-0.485	-1.943	-3.291	-3.975	-4.573	-5.465	-6.161	-6.235	-0.05993794
	7.80	6.44812393	6.4044	3.5227	3.6433	1.2410	-4.037	-0.772	-2.136	-3.443	-4.099	-4.674	-5.529	-6.186	-6.259	-0.05983168
	7.80	6.45048666	6.4064	3.5526	3.6523	1.2471	-4.111	-1.057	-2.326	-3.591	-4.218	-4.770	-5.587	-6.205	-6.276	-0.05980209
	7.80	6.45158768	6.4072	3.5665	3.6599	1.2638	-4.146	-1.260	-2.447	-3.674	-4.281	-4.817	-5.600	-6.190	-6.257	-0.05978832
	7.80	6.45268011	6.4081	3.5777	3.6724	1.3026	-4.174	-1.562	-2.614	-3.777	-4.352	-4.862	-5.591	-6.135	-6.197	-0.05977465
	7.80	6.45322418	6.4086	3.5821	3.6805	1.3308	-4.185	-1.749	-2.714	-3.835	-4.390	-4.884	-5.577	-6.092	-6.151	-0.05976785
	7.80	6.45431089	6.4095	3.5891	3.6955	1.3836	-4.203	-2.083	-2.894	-3.933	-4.453	-4.920	-5.545	-6.013	-6.067	-0.05975426
